没有配置要使用的数据服务，请修改全局配置中的datafeed相关内容
2026-05-21 11:39:54.618 | INFO | MainEngine | 连接登录 -> AKSHARE
2026-05-21 11:39:54.618 | INFO | AKSHARE | akshare gateway 启动（行情 only），轮询 5.0s
2026-05-21 11:39:56.621 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='600330', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 11:39:56.621 | INFO | AKSHARE | 订阅 600330.SSE (累计 1 只)
2026-05-21 11:39:56.621 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='002453', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 11:39:56.623 | INFO | AKSHARE | 订阅 002453.SZSE (累计 2 只)
2026-05-21 11:39:56.623 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='603601', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 11:39:56.623 | INFO | AKSHARE | 订阅 603601.SSE (累计 3 只)
2026-05-21 11:39:56.623 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='002428', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 11:39:56.623 | INFO | AKSHARE | 订阅 002428.SZSE (累计 4 只)
2026-05-21 11:39:56.623 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='600130', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 11:39:56.624 | INFO | AKSHARE | 订阅 600130.SSE (累计 5 只)
2026-05-21 11:39:56.624 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='603178', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 11:39:56.624 | INFO | AKSHARE | 订阅 603178.SSE (累计 6 只)
2026-05-21 11:39:56.624 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='603986', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 11:39:56.624 | INFO | AKSHARE | 订阅 603986.SSE (累计 7 只)
2026-05-21 11:39:56.624 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='301120', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 11:39:56.624 | INFO | AKSHARE | 订阅 301120.SZSE (累计 8 只)
2026-05-21 11:39:56.626 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='301179', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 11:39:56.626 | INFO | AKSHARE | 订阅 301179.SZSE (累计 9 只)
2026-05-21 11:39:56.626 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='600021', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 11:39:56.626 | INFO | AKSHARE | 订阅 600021.SSE (累计 10 只)
2026-05-21 11:39:56.626 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='000600', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 11:39:56.626 | INFO | AKSHARE | 订阅 000600.SZSE (累计 11 只)
2026-05-21 11:39:56.626 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='002067', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 11:39:56.626 | INFO | AKSHARE | 订阅 002067.SZSE (累计 12 只)
2026-05-21 11:39:56.628 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='000899', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 11:39:56.628 | INFO | AKSHARE | 订阅 000899.SZSE (累计 13 只)
2026-05-21 11:39:56.628 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='001896', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 11:39:56.628 | INFO | AKSHARE | 订阅 001896.SZSE (累计 14 只)
2026-05-21 11:39:56.628 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='600310', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 11:39:56.628 | INFO | AKSHARE | 订阅 600310.SSE (累计 15 只)
2026-05-21 11:39:56.629 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='601222', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 11:39:56.629 | INFO | AKSHARE | 订阅 601222.SSE (累计 16 只)
2026-05-21 11:39:56.629 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='600863', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 11:39:56.629 | INFO | AKSHARE | 订阅 600863.SSE (累计 17 只)
2026-05-21 11:39:56.629 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='605006', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 11:39:56.629 | INFO | AKSHARE | 订阅 605006.SSE (累计 18 只)
2026-05-21 11:39:56.629 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='603757', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 11:39:56.629 | INFO | AKSHARE | 订阅 603757.SSE (累计 19 只)
2026-05-21 11:39:56.631 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='002156', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 11:39:56.631 | INFO | AKSHARE | 订阅 002156.SZSE (累计 20 只)
2026-05-21 11:39:56.631 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='002709', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 11:39:56.631 | INFO | AKSHARE | 订阅 002709.SZSE (累计 21 只)
2026-05-21 11:39:56.632 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='002149', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 11:39:56.632 | INFO | AKSHARE | 订阅 002149.SZSE (累计 22 只)
2026-05-21 11:39:56.647 | INFO | CtaStrategy | CTA策略引擎初始化成功
  📡 获取实时行情（新浪）...
  📡 获取实时行情（新浪）...
  📡 获取实时行情（新浪）...
  📡 获取实时行情（新浪）...
  📡 获取实时行情（新浪）...
2026-05-21 11:40:20.753 | INFO | CtaStrategy | thr_600330开始执行初始化
2026-05-21 11:40:20.753 | INFO | CtaStrategy | [thr_600330]  策略初始化: 600330.SSE
2026-05-21 11:40:20.753 | INFO | CtaStrategy | [thr_600330]    规则: buy_zone=0.0 buy_strong=0.0 trend_break=28.05 take_profit=34.6 auto=True
2026-05-21 11:40:20.753 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='600330', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 11:40:20.754 | INFO | AKSHARE | 订阅 600330.SSE (累计 22 只)
